advertiser,media_type,year,amount_usd,status,source
BANCO PICHINCHA,tv_abierta,2026,1923113.17,pendiente,Monitoreo de medios - consolidado 2026
BANCO PICHINCHA,tv_paga,2026,72944.45,pendiente,Monitoreo de medios - consolidado 2026
UNILEVER ANDINA JABONERIA NACIONAL S.A.,sitios_apps,2026,92991.62,pendiente,Monitoreo de medios - consolidado 2026
UNILEVER ANDINA JABONERIA NACIONAL S.A.,prensa,2026,1704.79,pendiente,Monitoreo de medios - consolidado 2026
UNILEVER ANDINA JABONERIA NACIONAL S.A.,radio,2026,17647.17,pendiente,Monitoreo de medios - consolidado 2026
UNILEVER ANDINA JABONERIA NACIONAL S.A.,revistas,2026,20418.26,pendiente,Monitoreo de medios - consolidado 2026
UNILEVER ANDINA JABONERIA NACIONAL S.A.,tv_abierta,2026,1438500.78,pendiente,Monitoreo de medios - consolidado 2026
UNILEVER ANDINA JABONERIA NACIONAL S.A.,tv_paga,2026,6690.18,pendiente,Monitoreo de medios - consolidado 2026
NESTLE DEL ECUADOR,sitios_apps,2026,502683.25,pendiente,Monitoreo de medios - consolidado 2026
NESTLE DEL ECUADOR,prensa,2026,8517.28,pendiente,Monitoreo de medios - consolidado 2026
NESTLE DEL ECUADOR,radio,2026,134.67,pendiente,Monitoreo de medios - consolidado 2026
NESTLE DEL ECUADOR,otros,2026,1178.95,pendiente,Monitoreo de medios - consolidado 2026
NESTLE DEL ECUADOR,tv_abierta,2026,809248.21,pendiente,Monitoreo de medios - consolidado 2026
NESTLE DEL ECUADOR,tv_paga,2026,5.37,pendiente,Monitoreo de medios - consolidado 2026
LA MILENARIA,sitios_apps,2026,201.1,pendiente,Monitoreo de medios - consolidado 2026
LA MILENARIA,radio,2026,26.53,pendiente,Monitoreo de medios - consolidado 2026
LA MILENARIA,tv_abierta,2026,367433.76,pendiente,Monitoreo de medios - consolidado 2026
BANCO DEL PACIFICO,sitios_apps,2026,156609.38,pendiente,Monitoreo de medios - consolidado 2026
BANCO DEL PACIFICO,prensa,2026,260069.31,pendiente,Monitoreo de medios - consolidado 2026
BANCO DEL PACIFICO,radio,2026,399440.34,pendiente,Monitoreo de medios - consolidado 2026
BANCO DEL PACIFICO,revistas,2026,22265.39,pendiente,Monitoreo de medios - consolidado 2026
BANCO DEL PACIFICO,tv_abierta,2026,766730.41,pendiente,Monitoreo de medios - consolidado 2026
BANCO DEL PACIFICO,tv_paga,2026,775.61,pendiente,Monitoreo de medios - consolidado 2026
TECNOQUIMICAS S.A.,sitios_apps,2026,74050.98,pendiente,Monitoreo de medios - consolidado 2026
TECNOQUIMICAS S.A.,radio,2026,92211.07,pendiente,Monitoreo de medios - consolidado 2026
TECNOQUIMICAS S.A.,tv_abierta,2026,883211.64,pendiente,Monitoreo de medios - consolidado 2026
TECNOQUIMICAS S.A.,tv_paga,2026,74.42,pendiente,Monitoreo de medios - consolidado 2026
ONLY NATURAL,prensa,2026,6316.82,pendiente,Monitoreo de medios - consolidado 2026
ONLY NATURAL,radio,2026,14319.04,pendiente,Monitoreo de medios - consolidado 2026
ONLY NATURAL,revistas,2026,4118.4,pendiente,Monitoreo de medios - consolidado 2026
ONLY NATURAL,otros,2026,16356.48,pendiente,Monitoreo de medios - consolidado 2026
ONLY NATURAL,tv_abierta,2026,353848.28,pendiente,Monitoreo de medios - consolidado 2026
OROMAR TELEVISION,tv_abierta,2026,346164.21,pendiente,Monitoreo de medios - consolidado 2026
QUALA,sitios_apps,2026,17101.25,pendiente,Monitoreo de medios - consolidado 2026
QUALA,tv_abierta,2026,839224.2,pendiente,Monitoreo de medios - consolidado 2026
CORP. FAVORITA,sitios_apps,2026,166437.99,pendiente,Monitoreo de medios - consolidado 2026
CORP. FAVORITA,prensa,2026,47863.04,pendiente,Monitoreo de medios - consolidado 2026
CORP. FAVORITA,radio,2026,99754.82,pendiente,Monitoreo de medios - consolidado 2026
CORP. FAVORITA,revistas,2026,12561.53,pendiente,Monitoreo de medios - consolidado 2026
CORP. FAVORITA,tv_abierta,2026,700846.7,pendiente,Monitoreo de medios - consolidado 2026
CORP. FAVORITA,tv_paga,2026,61661.16,pendiente,Monitoreo de medios - consolidado 2026
MEGADATOS S.A.,sitios_apps,2026,657846.92,pendiente,Monitoreo de medios - consolidado 2026
MEGADATOS S.A.,prensa,2026,12255.19,pendiente,Monitoreo de medios - consolidado 2026
MEGADATOS S.A.,radio,2026,37027.32,pendiente,Monitoreo de medios - consolidado 2026
MEGADATOS S.A.,revistas,2026,11480.04,pendiente,Monitoreo de medios - consolidado 2026
MEGADATOS S.A.,tv_abierta,2026,666381.6,pendiente,Monitoreo de medios - consolidado 2026
MEGADATOS S.A.,tv_paga,2026,1741.47,pendiente,Monitoreo de medios - consolidado 2026
GOBIERNO NACIONAL,sitios_apps,2026,169103.56,pendiente,Monitoreo de medios - consolidado 2026
GOBIERNO NACIONAL,prensa,2026,121323.96,pendiente,Monitoreo de medios - consolidado 2026
GOBIERNO NACIONAL,radio,2026,526975.82,pendiente,Monitoreo de medios - consolidado 2026
GOBIERNO NACIONAL,tv_abierta,2026,599653.62,pendiente,Monitoreo de medios - consolidado 2026
GOBIERNO NACIONAL,tv_paga,2026,16457.22,pendiente,Monitoreo de medios - consolidado 2026
GABRIEL RIVAS ONTANEDA,tv_abierta,2026,274167.44,pendiente,Monitoreo de medios - consolidado 2026
CIA. DE CERVEZAS NACIONALES,sitios_apps,2026,192909.62,pendiente,Monitoreo de medios - consolidado 2026
CIA. DE CERVEZAS NACIONALES,prensa,2026,7455.08,pendiente,Monitoreo de medios - consolidado 2026
CIA. DE CERVEZAS NACIONALES,radio,2026,5530.62,pendiente,Monitoreo de medios - consolidado 2026
CIA. DE CERVEZAS NACIONALES,revistas,2026,8622.9,pendiente,Monitoreo de medios - consolidado 2026
CIA. DE CERVEZAS NACIONALES,otros,2026,2357.9,pendiente,Monitoreo de medios - consolidado 2026
CIA. DE CERVEZAS NACIONALES,tv_abierta,2026,662238.17,pendiente,Monitoreo de medios - consolidado 2026
CIA. DE CERVEZAS NACIONALES,tv_paga,2026,496.83,pendiente,Monitoreo de medios - consolidado 2026
BANCO GUAYAQUIL,sitios_apps,2026,328812.63,pendiente,Monitoreo de medios - consolidado 2026
BANCO GUAYAQUIL,prensa,2026,60784.92,pendiente,Monitoreo de medios - consolidado 2026
BANCO GUAYAQUIL,radio,2026,154082.77,pendiente,Monitoreo de medios - consolidado 2026
BANCO GUAYAQUIL,revistas,2026,39832.65,pendiente,Monitoreo de medios - consolidado 2026
BANCO GUAYAQUIL,otros,2026,14526.25,pendiente,Monitoreo de medios - consolidado 2026
BANCO GUAYAQUIL,tv_abierta,2026,449160.65,pendiente,Monitoreo de medios - consolidado 2026
BANCO GUAYAQUIL,tv_paga,2026,55827.98,pendiente,Monitoreo de medios - consolidado 2026
LA FABRIL,sitios_apps,2026,197864.57,pendiente,Monitoreo de medios - consolidado 2026
LA FABRIL,prensa,2026,8290.19,pendiente,Monitoreo de medios - consolidado 2026
LA FABRIL,radio,2026,52564.28,pendiente,Monitoreo de medios - consolidado 2026
LA FABRIL,revistas,2026,965.25,pendiente,Monitoreo de medios - consolidado 2026
LA FABRIL,otros,2026,1179.36,pendiente,Monitoreo de medios - consolidado 2026
LA FABRIL,tv_abierta,2026,520493.78,pendiente,Monitoreo de medios - consolidado 2026
LA FABRIL,tv_paga,2026,1.84,pendiente,Monitoreo de medios - consolidado 2026
INDUST. TIA S. A.,sitios_apps,2026,79416.92,pendiente,Monitoreo de medios - consolidado 2026
INDUST. TIA S. A.,prensa,2026,52808.79,pendiente,Monitoreo de medios - consolidado 2026
INDUST. TIA S. A.,radio,2026,62608.81,pendiente,Monitoreo de medios - consolidado 2026
INDUST. TIA S. A.,tv_abierta,2026,379073.31,pendiente,Monitoreo de medios - consolidado 2026
OTECEL,sitios_apps,2026,26335.62,pendiente,Monitoreo de medios - consolidado 2026
OTECEL,prensa,2026,2201.13,pendiente,Monitoreo de medios - consolidado 2026
OTECEL,radio,2026,11451.2,pendiente,Monitoreo de medios - consolidado 2026
OTECEL,tv_abierta,2026,562142.48,pendiente,Monitoreo de medios - consolidado 2026
OTECEL,tv_paga,2026,4.1,pendiente,Monitoreo de medios - consolidado 2026
COLGATE PALMOLIVE DEL ECUADOR,sitios_apps,2026,56169.26,pendiente,Monitoreo de medios - consolidado 2026
COLGATE PALMOLIVE DEL ECUADOR,tv_abierta,2026,379680.15,pendiente,Monitoreo de medios - consolidado 2026
COLGATE PALMOLIVE DEL ECUADOR,tv_paga,2026,29.75,pendiente,Monitoreo de medios - consolidado 2026
MICASINO.COM,sitios_apps,2026,2233.16,pendiente,Monitoreo de medios - consolidado 2026
MICASINO.COM,radio,2026,1095.7,pendiente,Monitoreo de medios - consolidado 2026
MICASINO.COM,tv_paga,2026,795471.7,pendiente,Monitoreo de medios - consolidado 2026
OROMAR TV,tv_abierta,2026,213613.23,pendiente,Monitoreo de medios - consolidado 2026
PRONACA,sitios_apps,2026,336317.51,pendiente,Monitoreo de medios - consolidado 2026
PRONACA,radio,2026,47760.16,pendiente,Monitoreo de medios - consolidado 2026
PRONACA,revistas,2026,965.25,pendiente,Monitoreo de medios - consolidado 2026
PRONACA,tv_abierta,2026,437804.72,pendiente,Monitoreo de medios - consolidado 2026
PRONACA,tv_paga,2026,5.75,pendiente,Monitoreo de medios - consolidado 2026
PROCTER & GAMBLE,sitios_apps,2026,98487.58,pendiente,Monitoreo de medios - consolidado 2026
PROCTER & GAMBLE,radio,2026,16654.68,pendiente,Monitoreo de medios - consolidado 2026
PROCTER & GAMBLE,tv_abierta,2026,455386.59,pendiente,Monitoreo de medios - consolidado 2026
PROCTER & GAMBLE,tv_paga,2026,1614.65,pendiente,Monitoreo de medios - consolidado 2026
AVISOS JUDICIALES,prensa,2026,1647743.11,pendiente,Monitoreo de medios - consolidado 2026
CORP. EL ROSADO,sitios_apps,2026,347101.44,pendiente,Monitoreo de medios - consolidado 2026
CORP. EL ROSADO,prensa,2026,164224.28,pendiente,Monitoreo de medios - consolidado 2026
CORP. EL ROSADO,radio,2026,105903.48,pendiente,Monitoreo de medios - consolidado 2026
CORP. EL ROSADO,otros,2026,7410.85,pendiente,Monitoreo de medios - consolidado 2026
CORP. EL ROSADO,tv_abierta,2026,217283.92,pendiente,Monitoreo de medios - consolidado 2026
CORP. EL ROSADO,tv_paga,2026,11829.0,pendiente,Monitoreo de medios - consolidado 2026
MEGA LAB.,sitios_apps,2026,38315.04,pendiente,Monitoreo de medios - consolidado 2026
MEGA LAB.,prensa,2026,536.7,pendiente,Monitoreo de medios - consolidado 2026
MEGA LAB.,radio,2026,44183.27,pendiente,Monitoreo de medios - consolidado 2026
MEGA LAB.,tv_abierta,2026,393522.92,pendiente,Monitoreo de medios - consolidado 2026
EL UNIVERSO,prensa,2026,1533237.84,pendiente,Monitoreo de medios - consolidado 2026
EL UNIVERSO,radio,2026,5575.96,pendiente,Monitoreo de medios - consolidado 2026
EL UNIVERSO,otros,2026,72440.64,pendiente,Monitoreo de medios - consolidado 2026
EL UNIVERSO,tv_abierta,2026,4433.05,pendiente,Monitoreo de medios - consolidado 2026
NOVEDADES TV,tv_abierta,2026,113244.36,pendiente,Monitoreo de medios - consolidado 2026
CASA NATURA,tv_abierta,2026,119521.49,pendiente,Monitoreo de medios - consolidado 2026
BELCORP,sitios_apps,2026,281278.23,pendiente,Monitoreo de medios - consolidado 2026
BELCORP,tv_abierta,2026,220462.1,pendiente,Monitoreo de medios - consolidado 2026
BELCORP,tv_paga,2026,0.69,pendiente,Monitoreo de medios - consolidado 2026
SUMESA,radio,2026,206.35,pendiente,Monitoreo de medios - consolidado 2026
SUMESA,revistas,2026,3307.59,pendiente,Monitoreo de medios - consolidado 2026
SUMESA,otros,2026,2052.0,pendiente,Monitoreo de medios - consolidado 2026
SUMESA,tv_abierta,2026,248316.44,pendiente,Monitoreo de medios - consolidado 2026
DINERS CLUB,sitios_apps,2026,71555.37,pendiente,Monitoreo de medios - consolidado 2026
DINERS CLUB,prensa,2026,4430.34,pendiente,Monitoreo de medios - consolidado 2026
DINERS CLUB,radio,2026,11005.68,pendiente,Monitoreo de medios - consolidado 2026
DINERS CLUB,revistas,2026,35746.43,pendiente,Monitoreo de medios - consolidado 2026
DINERS CLUB,otros,2026,1178.95,pendiente,Monitoreo de medios - consolidado 2026
DINERS CLUB,tv_abierta,2026,386367.55,pendiente,Monitoreo de medios - consolidado 2026
DINERS CLUB,tv_paga,2026,10.7,pendiente,Monitoreo de medios - consolidado 2026
KIA MOTORS,sitios_apps,2026,323830.06,pendiente,Monitoreo de medios - consolidado 2026
KIA MOTORS,prensa,2026,24815.54,pendiente,Monitoreo de medios - consolidado 2026
KIA MOTORS,radio,2026,49338.86,pendiente,Monitoreo de medios - consolidado 2026
KIA MOTORS,revistas,2026,3732.3,pendiente,Monitoreo de medios - consolidado 2026
KIA MOTORS,tv_abierta,2026,286939.26,pendiente,Monitoreo de medios - consolidado 2026
KIA MOTORS,tv_paga,2026,0.8,pendiente,Monitoreo de medios - consolidado 2026
DIFARE S.A.,sitios_apps,2026,24006.71,pendiente,Monitoreo de medios - consolidado 2026
DIFARE S.A.,prensa,2026,7150.25,pendiente,Monitoreo de medios - consolidado 2026
DIFARE S.A.,radio,2026,23111.74,pendiente,Monitoreo de medios - consolidado 2026
DIFARE S.A.,revistas,2026,965.25,pendiente,Monitoreo de medios - consolidado 2026
DIFARE S.A.,otros,2026,15647.27,pendiente,Monitoreo de medios - consolidado 2026
DIFARE S.A.,tv_abierta,2026,128276.82,pendiente,Monitoreo de medios - consolidado 2026
DIFARE S.A.,tv_paga,2026,33.85,pendiente,Monitoreo de medios - consolidado 2026
ABBOTT,sitios_apps,2026,18961.05,pendiente,Monitoreo de medios - consolidado 2026
ABBOTT,tv_abierta,2026,351420.71,pendiente,Monitoreo de medios - consolidado 2026
ABBOTT,tv_paga,2026,148.87,pendiente,Monitoreo de medios - consolidado 2026
NIRSA S. A.,sitios_apps,2026,149810.57,pendiente,Monitoreo de medios - consolidado 2026
NIRSA S. A.,prensa,2026,26919.02,pendiente,Monitoreo de medios - consolidado 2026
NIRSA S. A.,radio,2026,34478.47,pendiente,Monitoreo de medios - consolidado 2026
NIRSA S. A.,revistas,2026,3796.65,pendiente,Monitoreo de medios - consolidado 2026
NIRSA S. A.,otros,2026,12777.21,pendiente,Monitoreo de medios - consolidado 2026
NIRSA S. A.,tv_abierta,2026,163965.29,pendiente,Monitoreo de medios - consolidado 2026
NIRSA S. A.,tv_paga,2026,165.41,pendiente,Monitoreo de medios - consolidado 2026
MONDELEZ ECUADOR C. LTDA.,sitios_apps,2026,90506.93,pendiente,Monitoreo de medios - consolidado 2026
MONDELEZ ECUADOR C. LTDA.,radio,2026,11917.23,pendiente,Monitoreo de medios - consolidado 2026
MONDELEZ ECUADOR C. LTDA.,otros,2026,1179.36,pendiente,Monitoreo de medios - consolidado 2026
MONDELEZ ECUADOR C. LTDA.,tv_abierta,2026,237014.31,pendiente,Monitoreo de medios - consolidado 2026
MONDELEZ ECUADOR C. LTDA.,tv_paga,2026,1056.76,pendiente,Monitoreo de medios - consolidado 2026
DE PRATI,sitios_apps,2026,125304.89,pendiente,Monitoreo de medios - consolidado 2026
DE PRATI,prensa,2026,2901.19,pendiente,Monitoreo de medios - consolidado 2026
DE PRATI,radio,2026,54842.22,pendiente,Monitoreo de medios - consolidado 2026
DE PRATI,tv_abierta,2026,238592.82,pendiente,Monitoreo de medios - consolidado 2026
OPELLA HEALTHCARE ECUADOR S.A.S.,sitios_apps,2026,108173.83,pendiente,Monitoreo de medios - consolidado 2026
OPELLA HEALTHCARE ECUADOR S.A.S.,radio,2026,53911.52,pendiente,Monitoreo de medios - consolidado 2026
OPELLA HEALTHCARE ECUADOR S.A.S.,tv_abierta,2026,225060.03,pendiente,Monitoreo de medios - consolidado 2026
OPELLA HEALTHCARE ECUADOR S.A.S.,tv_paga,2026,3.87,pendiente,Monitoreo de medios - consolidado 2026
LOTERIA NACIONAL,sitios_apps,2026,101584.66,pendiente,Monitoreo de medios - consolidado 2026
LOTERIA NACIONAL,prensa,2026,17978.29,pendiente,Monitoreo de medios - consolidado 2026
LOTERIA NACIONAL,radio,2026,188532.74,pendiente,Monitoreo de medios - consolidado 2026
LOTERIA NACIONAL,tv_abierta,2026,198167.42,pendiente,Monitoreo de medios - consolidado 2026
LOTERIA NACIONAL,tv_paga,2026,1678.74,pendiente,Monitoreo de medios - consolidado 2026
KENTUCKY FRIED CHICKEN,sitios_apps,2026,251859.13,pendiente,Monitoreo de medios - consolidado 2026
KENTUCKY FRIED CHICKEN,prensa,2026,17013.89,pendiente,Monitoreo de medios - consolidado 2026
KENTUCKY FRIED CHICKEN,radio,2026,37005.07,pendiente,Monitoreo de medios - consolidado 2026
KENTUCKY FRIED CHICKEN,otros,2026,2688.75,pendiente,Monitoreo de medios - consolidado 2026
KENTUCKY FRIED CHICKEN,tv_abierta,2026,195640.91,pendiente,Monitoreo de medios - consolidado 2026
KENTUCKY FRIED CHICKEN,tv_paga,2026,5.91,pendiente,Monitoreo de medios - consolidado 2026
BANCO BOLIVARIANO,sitios_apps,2026,144955.18,pendiente,Monitoreo de medios - consolidado 2026
BANCO BOLIVARIANO,prensa,2026,37546.54,pendiente,Monitoreo de medios - consolidado 2026
BANCO BOLIVARIANO,radio,2026,65995.92,pendiente,Monitoreo de medios - consolidado 2026
BANCO BOLIVARIANO,revistas,2026,2895.75,pendiente,Monitoreo de medios - consolidado 2026
BANCO BOLIVARIANO,tv_abierta,2026,193361.74,pendiente,Monitoreo de medios - consolidado 2026
BANCO BOLIVARIANO,tv_paga,2026,1271.37,pendiente,Monitoreo de medios - consolidado 2026
PRODUBANCO,sitios_apps,2026,375788.69,pendiente,Monitoreo de medios - consolidado 2026
PRODUBANCO,prensa,2026,19470.69,pendiente,Monitoreo de medios - consolidado 2026
PRODUBANCO,radio,2026,28303.15,pendiente,Monitoreo de medios - consolidado 2026
PRODUBANCO,revistas,2026,2676.96,pendiente,Monitoreo de medios - consolidado 2026
PRODUBANCO,otros,2026,3536.85,pendiente,Monitoreo de medios - consolidado 2026
PRODUBANCO,tv_abierta,2026,75373.72,pendiente,Monitoreo de medios - consolidado 2026
PRODUBANCO,tv_paga,2026,89459.4,pendiente,Monitoreo de medios - consolidado 2026
ECUAJUGOS S.A.,sitios_apps,2026,42608.88,pendiente,Monitoreo de medios - consolidado 2026
ECUAJUGOS S.A.,radio,2026,30988.63,pendiente,Monitoreo de medios - consolidado 2026
ECUAJUGOS S.A.,revistas,2026,10720.71,pendiente,Monitoreo de medios - consolidado 2026
ECUAJUGOS S.A.,tv_abierta,2026,154789.05,pendiente,Monitoreo de medios - consolidado 2026
JOHNSONWAX DEL ECUADOR S.A.,sitios_apps,2026,10388.97,pendiente,Monitoreo de medios - consolidado 2026
JOHNSONWAX DEL ECUADOR S.A.,radio,2026,6956.32,pendiente,Monitoreo de medios - consolidado 2026
JOHNSONWAX DEL ECUADOR S.A.,tv_abierta,2026,163313.3,pendiente,Monitoreo de medios - consolidado 2026
PUNTO NET,sitios_apps,2026,41697.22,pendiente,Monitoreo de medios - consolidado 2026
PUNTO NET,prensa,2026,510.8,pendiente,Monitoreo de medios - consolidado 2026
PUNTO NET,radio,2026,51580.37,pendiente,Monitoreo de medios - consolidado 2026
PUNTO NET,revistas,2026,6550.83,pendiente,Monitoreo de medios - consolidado 2026
PUNTO NET,tv_abierta,2026,205771.34,pendiente,Monitoreo de medios - consolidado 2026
PUNTO NET,tv_paga,2026,169.22,pendiente,Monitoreo de medios - consolidado 2026
TVENTAS,sitios_apps,2026,8308.12,pendiente,Monitoreo de medios - consolidado 2026
TVENTAS,prensa,2026,6819.17,pendiente,Monitoreo de medios - consolidado 2026
TVENTAS,radio,2026,2543.44,pendiente,Monitoreo de medios - consolidado 2026
TVENTAS,revistas,2026,7773.77,pendiente,Monitoreo de medios - consolidado 2026
TVENTAS,tv_abierta,2026,224936.58,pendiente,Monitoreo de medios - consolidado 2026
WWW.ECUABET.COM,sitios_apps,2026,63355.8,pendiente,Monitoreo de medios - consolidado 2026
WWW.ECUABET.COM,prensa,2026,18824.24,pendiente,Monitoreo de medios - consolidado 2026
WWW.ECUABET.COM,radio,2026,163648.1,pendiente,Monitoreo de medios - consolidado 2026
WWW.ECUABET.COM,tv_abierta,2026,161884.11,pendiente,Monitoreo de medios - consolidado 2026
WWW.ECUABET.COM,tv_paga,2026,35677.4,pendiente,Monitoreo de medios - consolidado 2026
GENERAL MOTOR,sitios_apps,2026,126912.28,pendiente,Monitoreo de medios - consolidado 2026
GENERAL MOTOR,prensa,2026,22503.77,pendiente,Monitoreo de medios - consolidado 2026
GENERAL MOTOR,radio,2026,44812.57,pendiente,Monitoreo de medios - consolidado 2026
GENERAL MOTOR,revistas,2026,5907.33,pendiente,Monitoreo de medios - consolidado 2026
GENERAL MOTOR,otros,2026,23144.16,pendiente,Monitoreo de medios - consolidado 2026
GENERAL MOTOR,tv_abierta,2026,122894.04,pendiente,Monitoreo de medios - consolidado 2026
GENERAL MOTOR,tv_paga,2026,31383.86,pendiente,Monitoreo de medios - consolidado 2026
ETAFASHION,sitios_apps,2026,83479.05,pendiente,Monitoreo de medios - consolidado 2026
ETAFASHION,prensa,2026,395156.52,pendiente,Monitoreo de medios - consolidado 2026
ETAFASHION,radio,2026,16141.64,pendiente,Monitoreo de medios - consolidado 2026
ETAFASHION,otros,2026,8208.0,pendiente,Monitoreo de medios - consolidado 2026
ETAFASHION,tv_abierta,2026,77659.21,pendiente,Monitoreo de medios - consolidado 2026
ETAFASHION,tv_paga,2026,2.01,pendiente,Monitoreo de medios - consolidado 2026
HEINEKEN,sitios_apps,2026,38846.3,pendiente,Monitoreo de medios - consolidado 2026
HEINEKEN,prensa,2026,1901.46,pendiente,Monitoreo de medios - consolidado 2026
HEINEKEN,radio,2026,16765.38,pendiente,Monitoreo de medios - consolidado 2026
HEINEKEN,tv_abierta,2026,237758.95,pendiente,Monitoreo de medios - consolidado 2026
HEINEKEN,tv_paga,2026,7565.74,pendiente,Monitoreo de medios - consolidado 2026
GRAMON MILLET,sitios_apps,2026,154805.75,pendiente,Monitoreo de medios - consolidado 2026
GRAMON MILLET,prensa,2026,1230.03,pendiente,Monitoreo de medios - consolidado 2026
GRAMON MILLET,radio,2026,4861.19,pendiente,Monitoreo de medios - consolidado 2026
GRAMON MILLET,revistas,2026,2316.6,pendiente,Monitoreo de medios - consolidado 2026
GRAMON MILLET,tv_abierta,2026,106925.21,pendiente,Monitoreo de medios - consolidado 2026
GRAMON MILLET,tv_paga,2026,8.64,pendiente,Monitoreo de medios - consolidado 2026
HONOR,sitios_apps,2026,159590.91,pendiente,Monitoreo de medios - consolidado 2026
HONOR,tv_abierta,2026,167149.86,pendiente,Monitoreo de medios - consolidado 2026
SUZUKI,sitios_apps,2026,175382.69,pendiente,Monitoreo de medios - consolidado 2026
SUZUKI,prensa,2026,16755.71,pendiente,Monitoreo de medios - consolidado 2026
SUZUKI,radio,2026,9017.25,pendiente,Monitoreo de medios - consolidado 2026
SUZUKI,revistas,2026,3539.25,pendiente,Monitoreo de medios - consolidado 2026
SUZUKI,otros,2026,2688.75,pendiente,Monitoreo de medios - consolidado 2026
SUZUKI,tv_abierta,2026,175426.71,pendiente,Monitoreo de medios - consolidado 2026
ROYAL GRA,radio,2026,4686.13,pendiente,Monitoreo de medios - consolidado 2026
ROYAL GRA,tv_abierta,2026,49129.05,pendiente,Monitoreo de medios - consolidado 2026
PACIFICARD,sitios_apps,2026,41862.54,pendiente,Monitoreo de medios - consolidado 2026
PACIFICARD,prensa,2026,22337.91,pendiente,Monitoreo de medios - consolidado 2026
PACIFICARD,radio,2026,36499.04,pendiente,Monitoreo de medios - consolidado 2026
PACIFICARD,otros,2026,2103.3,pendiente,Monitoreo de medios - consolidado 2026
PACIFICARD,tv_abierta,2026,213316.1,pendiente,Monitoreo de medios - consolidado 2026
PACIFICARD,tv_paga,2026,150.87,pendiente,Monitoreo de medios - consolidado 2026
SUPERMERCADOS SANTA MARIA,sitios_apps,2026,14787.31,pendiente,Monitoreo de medios - consolidado 2026
SUPERMERCADOS SANTA MARIA,prensa,2026,4329.84,pendiente,Monitoreo de medios - consolidado 2026
